"mes","fecha","inflacion_baseline","inflacion_adverso","tasa_baseline","tasa_adverso","tasa_real_baseline","tasa_real_adverso","diferencial_tasa_real"
1,2026,4.8928,5.97,7.0946,7.0946,2.2018,1.1246,1.0773
2,2026.08333333333,4.919,5.9963,7.1336,7.1336,2.2146,1.1373,1.0773
3,2026.16666666667,4.9306,6.0078,7.1336,7.1336,2.203,1.1257,1.0773
4,2026.25,4.9357,5.6539,7.1336,7.1336,2.1979,1.4797,0.7182
5,2026.33333333333,4.9379,5.5125,7.1336,7.1336,2.1956,1.6211,0.5745
6,2026.41666666667,4.9389,5.298,7.1336,7.1336,2.1946,1.8356,0.3591
7,2026.5,4.9394,4.9394,7.1336,7.1336,2.1942,2.1942,0
8,2026.58333333333,4.9396,4.9396,7.1336,7.1336,2.194,2.194,0
9,2026.66666666667,4.9397,4.9397,7.1336,7.1336,2.1939,2.1939,0
10,2026.75,4.9397,4.9397,7.1336,7.1336,2.1939,2.1939,0
11,2026.83333333333,4.9397,4.9397,7.1336,7.1336,2.1939,2.1939,0
12,2026.91666666667,4.9397,4.9397,7.1336,7.1336,2.1939,2.1939,0
13,2027,4.9397,4.9397,7.1336,7.1336,2.1939,2.1939,0
14,2027.08333333333,4.9397,4.9397,7.1336,7.1336,2.1939,2.1939,0
15,2027.16666666667,4.9397,4.9397,7.1336,7.1336,2.1939,2.1939,0
16,2027.25,4.9397,4.9397,7.1336,7.1336,2.1939,2.1939,0
17,2027.33333333333,4.9397,4.9397,7.1336,7.1336,2.1939,2.1939,0
18,2027.41666666667,4.9397,4.9397,7.1336,7.1336,2.1939,2.1939,0
19,2027.5,4.9397,4.9397,7.1336,7.1336,2.1939,2.1939,0
20,2027.58333333333,4.9397,4.9397,7.1336,7.1336,2.1939,2.1939,0
21,2027.66666666667,4.9397,4.9397,7.1336,7.1336,2.1939,2.1939,0
22,2027.75,4.9397,4.9397,7.1336,7.1336,2.1939,2.1939,0
23,2027.83333333333,4.9397,4.9397,7.1336,7.1336,2.1939,2.1939,0
24,2027.91666666667,4.9397,4.9397,7.1336,7.1336,2.1939,2.1939,0
