"horizonte","fecha","embi","crecimiento","inflacion","interbancaria","deprec_fx"
1,216.083333333333,2.0368441777712,3.70223186954356,4.99111301546052,7.15394715611306,3.89393871202957
2,216.166666666667,2.40016815036846,4.26965728297858,5.05806298944279,7.38311798568114,3.8684632276895
3,216.25,2.74471100528392,4.36626020024738,5.05481576550257,7.62668173552686,3.93286752058778
4,216.333333333333,3.04896810023988,4.2894552396056,5.00797344237983,7.84049416294939,3.98843548047548
5,216.416666666667,3.3091261984829,4.15796205798887,4.9336776479781,8.00932759301564,4.01948465323923
6,216.5,3.52606329417392,4.01792876910993,4.84262407684811,8.13218764304012,4.03211875025639
7,216.583333333333,3.70234968005298,3.88912769744863,4.74298591235123,8.21328641544369,4.03497388199951
8,216.666666666667,3.84147775326337,3.78049786863924,4.64117314347752,8.25834966360807,4.03436782231969
9,216.75,3.94750645191277,3.69563323446408,4.5420101460244,8.2733096546223,4.03383980627735
10,216.833333333333,4.02477136831685,3.63510967067286,4.4489009133706,8.26384338242118,4.03481725986029
11,216.916666666667,4.07763178886631,3.59770624054585,4.36405572144772,8.23518423199316,4.03739584778316
12,217,4.1102716913717,3.58115659035015,4.28873843756906,8.19203073741312,4.04096000936875
13,217.083333333333,4.12656214421609,3.5826499269968,4.22349656191612,8.13850409511809,4.0446093986701
14,217.166666666667,4.1299801118714,3.5991720051141,4.16835624342366,8.07813965497671,4.04742420712683
15,217.25,4.12357245337659,3.6277334547454,4.12297863715703,8.01390412485282,4.04861323537677
16,217.333333333333,4.10995272156873,3.66551620337734,4.08678090467663,7.94823111974114,4.04758267468243
17,217.416666666667,4.09131979095912,3.70996049338316,4.05902761496849,7.88306834398679,4.04395438313891
18,217.5,4.06948965666866,3.75880958363253,4.03889853164594,7.81993083143937,4.03755413770748
19,217.583333333333,4.04593406677705,3.81012509351994,4.02553808361283,7.7599560124537,4.02838383461131
20,217.666666666667,4.02182161356798,3.86228266850167,4.01809086625424,7.70395764337078,4.01658681580623
21,217.75,3.99805842867778,3.91395506325352,4.01572659717092,7.65247668298981,4.00241208839141
22,217.833333333333,3.9753267376286,3.96408774448301,4.01765716017352,7.60582800003338,3.98618084016892
23,217.916666666667,3.95412030615424,4.01187060733519,4.02314773561253,7.56414236945869,3.96825705773647
24,218,3.93477633359902,4.05670827943158,4.0315235217396,7.52740360702704,3.94902300643092
