fecha,RETORNOS,TASA_PASIVA,INFLACION,DIMAE,EMBI,DTCN
1/1/2015,12.09,6.62,1.153846154,7.096603674,3.97,0.790781744
2/1/2015,12.0094604,6.86,1.010452962,7.230540942,3.8,0.605245461
3/1/2015,12.2886806,7.08,0.647099607,6.957411434,3.71,-0.289661319
4/1/2015,12.336572,6.22,-0.034518467,8.721746903,3.71,0.111731844
5/1/2015,12.5769758,5.57,0.230070171,6.841519238,3.51,0.15625
6/1/2015,11.9904813,5.54,0.621118012,6.354558423,3.56,0.089146423
7/1/2015,11.22,5.5,0.492780197,9.348807221,3.53,0.334001336
8/1/2015,11.24,6.16,0.422374429,7.748934522,4.01,0.177541056
9/1/2015,11.17,5.99,0.387376097,6.344916345,4.02,0.199379708
10/1/2015,11.0331232,6.72,1.231611358,5.796924579,4.17,0.221092195
11/1/2015,10.9079459,7.24,1.530204408,8.043694141,3.94,0.220604456
12/1/2015,10.6991325,7.65,2.345906164,3.703266895,4.3,0.220118864
1/1/2016,10.404529,6.54,2.534854246,2.727048371,4.77,0.197671865
2/1/2016,10.3247683,6.62,1.747729102,7.699081645,5.14,0.306882946
3/1/2016,10.0234832,6.37,1.584385763,6.983140022,4.44,0.109265734
4/1/2016,9.940362,6.5,1.749539595,9.983556495,4.2,0.08731718
5/1/2016,9.6985804,6.49,1.710088374,6.137100509,4.27,0.109051254
6/1/2016,9.4724612,6.31,1.909007773,9.084258017,4.32,0.108932462
7/1/2016,9.4406678,6.38,1.858820846,5.294811321,3.92,0.087051143
8/1/2016,9.4051973,6.89,1.477776515,8.066642694,3.56,0.043487715
9/1/2016,9.4203466,6.55,1.350584497,7.817983783,3.56,0.347750489
10/1/2016,9.5077403,7.41,0.912470429,5.283192987,3.63,0.584795322
11/1/2016,9.7263822,7.45,0.877291643,4.710477941,3.98,0.322997416
12/1/2016,9.8297349,6.81,1.685393258,6.948709201,4.05,0.171710668
1/1/2017,9.9578046,6.86,2.326104057,5.405405405,3.77,0.23569745
2/1/2017,9.8281998,6.93,3.345010736,4.847564537,3.55,0.748182984
3/1/2017,9.7621743,6.31,3.141952984,6.292612049,3.34,0.40314025
4/1/2017,9.6194132,6.46,3.50678733,0.395130286,3.26,0.169061708
5/1/2017,9.6419523,6.5,3.103136989,3.971197905,3.21,0.084388186
6/1/2017,9.5713353,6.46,2.546270331,2.090319696,3.2,0.126475548
7/1/2017,9.5782398,5.65,2.541424093,3.00145593,3.13,0.084210526
8/1/2017,9.877946,5.8,3.181359919,5.279503106,2.98,0.084139672
9/1/2017,9.8231799,5.85,3.807390817,-0.437759569,2.87,0.294241278
10/1/2017,10.1,5.22,3.482920295,4.130601512,2.8,0.230511316
11/1/2017,10.37,4.99,4.136470064,6.188281764,2.84,0.292703324
12/1/2017,10.82,5.01,4.209944751,6.156954487,2.78,0.479466333
1/1/2018,10.95,4.86,3.865583132,8.398860399,2.57,0.456431535
2/1/2018,11.27,4.94,3.313285949,5.492424242,2.75,0.867410161
3/1/2018,10.85,5.136,3.911900066,6.277602524,2.81,0.737100737
4/1/2018,10.88,5.4641,4.054644809,5.073928305,2.89,0.365853659
5/1/2018,10.61,5.4157,4.476305133,5.498426023,3.19,0.040502228
6/1/2018,10.16,5.1544,4.637934806,8.901784737,3.41,0.04048583
7/1/2018,10.12,5.525,4.421880118,9.231271067,3.23,0.323755565
8/1/2018,9.69,5.9961,3.864944089,6.078803203,3.31,0.302541347
9/1/2018,9.44715,7.007,3.279395901,9.661781285,3.24,0.180977277
10/1/2018,8.9907486,7.1697,3.516720604,5.829124579,3.19,0.321156162
11/1/2018,8.353483,7.617,2.376873662,6.953916098,3.41,0.320128051
12/1/2018,7.7608962,7.4426,1.166366239,8.023640188,3.63,0.139609095
1/1/2019,7.7394661,6.5894,0.70839501,7.338099243,3.44,0.338577973
2/1/2019,7.5728635,6.2383,1.185436071,6.251980146,3.23,0.218340611
3/1/2019,7.8501169,6.573,1.476326057,5.006431186,3.14,0.099029511
4/1/2019,8.07,6.0438,1.606974057,4.05952622,3.06,0.019786308
5/1/2019,8.7793172,6.1789,1.309448984,6.852993833,3.26,0.019782394
6/1/2019,9.4542353,5.776,0.909471043,1.598632616,3.27,0.336234177
7/1/2019,9.7746328,6.0272,1.401087411,3.94186741,3.24,0.374531835
8/1/2019,10.3712693,5.4875,1.714225985,4.608203397,3.55,0.51060487
9/1/2019,10.7464123,5.6237,2.026321287,5.613241493,3.36,0.937866354
10/1/2019,10.6572587,5.9721,2.469779075,4.991051899,3.47,2.109949671
11/1/2019,10.8911651,6.3124,3.221083455,4.260457927,3.42,0.227488152
12/1/2019,10.8096462,6.6562,3.657897495,4.423219585,3.33,0.075657273
1/1/2020,10.5943616,5.8211,4.17847769,4.534769833,3.3,0.378000378
2/1/2020,10.6308001,6.2831,3.661087866,5.09889673,3.53,0.489549991
3/1/2020,10.188632,5.998,2.442065884,-12.13605955,6.26,0.693273375
4/1/2020,10.15902,5.1319,1.075046516,-28.06693258,7.05,0.855973204
5/1/2020,10.1137768,5.1225,0.982318271,-17.51838406,6.13,2.195571956
6/1/2020,10.5044899,5.0265,2.900652647,-6.481939634,5.42,4.603719083
7/1/2020,10.0756918,5.028,4.351412662,-9.298984869,5.15,0.707628581
8/1/2020,9.6191954,4.4657,4.80937211,-8.79141745,4.78,0.222793488
9/1/2020,9.4909233,3.578,5.036855037,-5.665336319,4.73,-0.017099863
10/1/2020,9.91772,2.9438,5.034068951,-6.723484848,4.6,0.034205576
11/1/2020,10.1396699,3.2676,5.258358663,-5.782060786,3.98,-0.068387759
12/1/2020,10.2817542,3.1025,5.551061678,-3.845129207,3.53,-0.222412318
1/1/2021,10.3603887,2.8837,6.217877658,-0.056216621,3.47,-0.017146776
2/1/2021,11.3922199,2.9154,7.083753784,1.484773974,3.44,-0.360144058
3/1/2021,11.8355982,2.6968,8.297829174,15.08847185,3.49,-1.118760757
4/1/2021,11.407671,2.9084,9.644098998,42.58858534,3.36,-0.609225413
5/1/2021,11.182607,2.5712,10.48535736,26.85927096,3.29,-0.105078809
6/1/2021,11.0695048,2.3425,9.322460485,14.35978836,3.38,0.157784011
7/1/2021,11.276224,2.329,7.875494071,12.59634674,3.6,0.122527569
8/1/2021,12.2330008,2.3701,7.892930679,13.17789112,3.63,-0.017482517
9/1/2021,12.079195,2.2318,7.738791423,13.22876896,3.52,-0.751879699
10/1/2021,12.2853443,2.149,7.707203718,13.52284264,3.58,-0.440451022
11/1/2021,12.017617,2.1143,8.23948407,15.24390244,3.72,0.371615643
12/1/2021,12.1466607,2.3099,8.49698247,10.83302549,3.72,0.77574048
1/1/2022,11.8986844,2.6067,8.728652751,8.10912159,3.67,1.172148355
2/1/2022,8.9772941,4.1709,8.989822842,10.35318237,3.94,-1.815666609
3/1/2022,9.1385772,4.844,9.057699513,7.221393962,4.46,-2.923564635
4/1/2022,9.0315294,4.9401,9.635295215,5.406430807,3.96,0.145137881
5/1/2022,8.4315787,6.0065,9.471733086,5.800195712,4.4,0.217391304
6/1/2022,7.4971233,5.8614,9.476010682,7.66170075,4.56,-0.578452639
7/1/2022,6.9443876,8.0657,9.434826418,4.322955739,5.08,-0.509090909
8/1/2022,5.3481794,8.5635,8.796801163,5.545847512,4.27,-1.535087719
9/1/2022,5.2288749,8.2675,8.621313552,3.554178438,4.39,-0.668151448
10/1/2022,4.7555433,8.4311,8.243437612,2.021105348,4.6,0.990284006
11/1/2022,5.01,9.1781,7.576700756,1.3739546,3.87,1.017576318
12/1/2022,5.52,9.9345,7.831538054,2.333138905,3.72,1.941391941
1/1/2023,5.6737111,9.7597,7.242582897,1.708289976,3.65,1.886453467
2/1/2023,7.1038364,9.5807,6.380771226,1.781793616,3.35,-0.987480162
3/1/2023,6.69,10.2344,5.900541098,2.598418354,3.65,-1.869991095
4/1/2023,6.52,9.9916,5.155691679,0.179969405,3.63,-0.344827586
5/1/2023,6.5,10.3575,4.43616661,3.464222652,3.59,-0.400655618
6/1/2023,6.8657325,9.5005,3.995625841,0.893854749,3.36,0.786249771
7/1/2023,7.68,8.2002,3.950782623,4.197752809,3.08,1.796081277
8/1/2023,8.6701058,8.1908,4.268292683,2.004182642,3.05,1.194083051
9/1/2023,9.1174709,8.3829,4.41409178,2.736953269,3.09,0.228953857
10/1/2023,9.1943475,8.3864,4.343493065,2.182678822,3.19,-0.052714813
11/1/2023,8.8560154,8.7935,4.000991981,2.011953868,2.88,0.193389592
12/1/2023,8.7384204,8.5636,3.569966429,2.507939093,2.56,0.965081593
1/1/2024,9.08,8.6464,3.319772172,4.680705943,2.55,2.363573166
2/1/2024,9.4982966,8.6652,3.291612484,7.417240521,2.39,-0.101867572
3/1/2024,9.9275179,9.0472,3.381995134,1.338302558,2.3,0.560842964
4/1/2024,10.3493607,9.5053,3.033980583,8.533189616,2.25,-0.016900456
5/1/2024,10.5473015,10.1378,3.193904021,4.746038196,2.16,-0.726842461
6/1/2024,10.5377388,10.2499,3.461942894,5.153760968,2.17,1.055678529
7/1/2024,10.1078717,10.335,3.534906192,5.88336784,2.18,-0.117944398
8/1/2024,9.74,10.0607,3.420652087,5.834614727,2.21,0.843454791
9/1/2024,9.54,10.2372,3.286272633,3.743361316,2.1,0.50184008
10/1/2024,9.6046004,10.3401,3.159821713,5.455949215,1.97,0.233022636
11/1/2024,9.8377168,10.2094,3.179397504,3.928040931,2.04,0.182663567
12/1/2024,9.98781,9.8135,3.344137877,3.066168878,2.03,1.011105586
1/1/2025,9.8132452,9.5545,3.323358009,2.288646359,2.03,1.197899573
2/1/2025,9.7699206,8.9996,3.564403179,0.671970341,2.04,1.005351062
3/1/2025,9.79,8.91,3.585157292,5.424607155,2.23,1.284315299
4/1/2025,9.398466,9.1074,3.706321162,1.680046346,2.52,-3.629735299
5/1/2025,9.0764786,9.632,3.833464258,3.126697184,2.19,-2.713815789
6/1/2025,8.8762046,9.6976,3.557188648,1.085547634,2.16,0.710059172
7/1/2025,8.3862194,9.4619,3.398662311,2.924881864,1.99,1.846567064
8/1/2025,9.0744412,8.5962,3.718048025,1.501331827,1.89,2.670182957
9/1/2025,9.4354715,7.3216,3.753185574,1.106432169,1.79,1.139829828
10/1/2025,9.7901553,6.3831,4.228068822,0.178963638,1.79,1.222222222
11/1/2025,9.6568511,6.0495,4.81472922,3.160235033,1.85,0.188176258
12/1/2025,9.8995774,6.0848,4.957160343,2.312138728,1.75,-0.391297543
