fecha,escenario,variable,valor,unidad,fuente,modulo_origen,fecha_generacion
2026-01-01,baseline_arima,crecimiento,2.308820747126459,porcentaje,ARIMA univariado,M3,2026-05-05
2026-01-01,baseline_arima,inflacion,4.977364940561845,porcentaje,ARIMA univariado,M3,2026-05-05
2026-01-01,baseline_arima,interbancaria,7.145718602735849,porcentaje,ARIMA univariado,M3,2026-05-05
2026-01-01,baseline_arima,deprec_fx,4.028651961988658,porcentaje,ARIMA univariado,M3,2026-05-05
2026-01-01,baseline_arima,embi,1.6924776162649946,puntos_base,ARIMA univariado,M3,2026-05-05
2026-02-01,baseline_arima,crecimiento,2.2589615131095897,porcentaje,ARIMA univariado,M3,2026-05-05
2026-02-01,baseline_arima,inflacion,4.808071726029794,porcentaje,ARIMA univariado,M3,2026-05-05
2026-02-01,baseline_arima,interbancaria,7.198786927014071,porcentaje,ARIMA univariado,M3,2026-05-05
2026-02-01,baseline_arima,deprec_fx,3.623322461458403,porcentaje,ARIMA univariado,M3,2026-05-05
2026-02-01,baseline_arima,embi,1.698748535450482,puntos_base,ARIMA univariado,M3,2026-05-05
2026-03-01,baseline_arima,crecimiento,3.8135619373539207,porcentaje,ARIMA univariado,M3,2026-05-05
2026-03-01,baseline_arima,inflacion,4.776976246450045,porcentaje,ARIMA univariado,M3,2026-05-05
2026-03-01,baseline_arima,interbancaria,7.171430373005937,porcentaje,ARIMA univariado,M3,2026-05-05
2026-03-01,baseline_arima,deprec_fx,3.339411992248499,porcentaje,ARIMA univariado,M3,2026-05-05
2026-03-01,baseline_arima,embi,1.7184056676151402,puntos_base,ARIMA univariado,M3,2026-05-05
2026-04-01,baseline_arima,crecimiento,3.8782272717559536,porcentaje,ARIMA univariado,M3,2026-05-05
2026-04-01,baseline_arima,inflacion,4.895073483483606,porcentaje,ARIMA univariado,M3,2026-05-05
2026-04-01,baseline_arima,interbancaria,7.174911165846655,porcentaje,ARIMA univariado,M3,2026-05-05
2026-04-01,baseline_arima,deprec_fx,4.3905882447567395,porcentaje,ARIMA univariado,M3,2026-05-05
2026-04-01,baseline_arima,embi,1.7225316984212486,puntos_base,ARIMA univariado,M3,2026-05-05
2026-05-01,baseline_arima,crecimiento,3.063007048654006,porcentaje,ARIMA univariado,M3,2026-05-05
2026-05-01,baseline_arima,inflacion,4.740310897125725,porcentaje,ARIMA univariado,M3,2026-05-05
2026-05-01,baseline_arima,interbancaria,7.104236970159424,porcentaje,ARIMA univariado,M3,2026-05-05
2026-05-01,baseline_arima,deprec_fx,4.944069269245748,porcentaje,ARIMA univariado,M3,2026-05-05
2026-05-01,baseline_arima,embi,1.7371837324499035,puntos_base,ARIMA univariado,M3,2026-05-05
2026-06-01,baseline_arima,crecimiento,5.325149834490506,porcentaje,ARIMA univariado,M3,2026-05-05
2026-06-01,baseline_arima,inflacion,4.852298699858576,porcentaje,ARIMA univariado,M3,2026-05-05
2026-06-01,baseline_arima,interbancaria,7.026197559030508,porcentaje,ARIMA univariado,M3,2026-05-05
2026-06-01,baseline_arima,deprec_fx,4.9933105943273715,porcentaje,ARIMA univariado,M3,2026-05-05
2026-06-01,baseline_arima,embi,1.733930931126079,puntos_base,ARIMA univariado,M3,2026-05-05
2026-07-01,baseline_arima,crecimiento,4.50116837899648,porcentaje,ARIMA univariado,M3,2026-05-05
2026-07-01,baseline_arima,inflacion,4.971824515016252,porcentaje,ARIMA univariado,M3,2026-05-05
2026-07-01,baseline_arima,interbancaria,7.051261028533279,porcentaje,ARIMA univariado,M3,2026-05-05
2026-07-01,baseline_arima,deprec_fx,4.353129016069732,porcentaje,ARIMA univariado,M3,2026-05-05
2026-07-01,baseline_arima,embi,1.7365954141526874,puntos_base,ARIMA univariado,M3,2026-05-05
2026-08-01,baseline_arima,crecimiento,5.615126354288903,porcentaje,ARIMA univariado,M3,2026-05-05
2026-08-01,baseline_arima,inflacion,4.804227939011297,porcentaje,ARIMA univariado,M3,2026-05-05
2026-08-01,baseline_arima,interbancaria,7.1715728177675295,porcentaje,ARIMA univariado,M3,2026-05-05
2026-08-01,baseline_arima,deprec_fx,3.7624902768743955,porcentaje,ARIMA univariado,M3,2026-05-05
2026-08-01,baseline_arima,embi,1.7373579627356683,puntos_base,ARIMA univariado,M3,2026-05-05
2026-09-01,baseline_arima,crecimiento,6.414709262570734,porcentaje,ARIMA univariado,M3,2026-05-05
