"","instrumento","fund","rate","year","month","file"
"1","Acciones de oferta pública 7","ATLÁNTICO",0.000901,2024,"Enero","tasas_2024_66.xlsx"
"2","Acciones de oferta pública 7","CRECER",0.00088,2024,"Enero","tasas_2024_66.xlsx"
"3","Acciones de oferta pública 7","JMMB_BDI",0.000901,2024,"Enero","tasas_2024_66.xlsx"
"4","Acciones de oferta pública 7","POPULAR",0,2024,"Enero","tasas_2024_66.xlsx"
"5","Acciones de oferta pública 7","RESERVAS",0.000901,2024,"Enero","tasas_2024_66.xlsx"
"6","Acciones de oferta pública 7","ROMANA",0,2024,"Enero","tasas_2024_66.xlsx"
"7","Acciones de oferta pública 7","SIEMBRA",0.000901,2024,"Enero","tasas_2024_66.xlsx"
"8","Acciones de oferta pública 7","TOTAL_CCI",0.000893915372717198,2024,"Enero","tasas_2024_66.xlsx"
"9","Acciones de oferta pública 7","RESERVAS-R3",0,2024,"Enero","tasas_2024_66.xlsx"
"10","Acciones de oferta pública 7","BANCO_CENTRAL-R3",0.000901,2024,"Enero","tasas_2024_66.xlsx"
"11","Acciones de oferta pública 7","FONDO_DE_SOLIDARIDAD_SOCIAL",0,2024,"Enero","tasas_2024_66.xlsx"
"12","Acciones de oferta pública 7","TOTAL_SISTEMA",0.000893915424138798,2024,"Enero","tasas_2024_66.xlsx"
"13","Bonos Ministerio de Hacienda","ATLÁNTICO",0.000549,2024,"Enero","tasas_2024_66.xlsx"
"14","Bonos Ministerio de Hacienda","CRECER",0.000769,2024,"Enero","tasas_2024_66.xlsx"
"15","Bonos Ministerio de Hacienda","JMMB_BDI",0.000722,2024,"Enero","tasas_2024_66.xlsx"
"16","Bonos Ministerio de Hacienda","POPULAR",0.000745,2024,"Enero","tasas_2024_66.xlsx"
"17","Bonos Ministerio de Hacienda","RESERVAS",0.000755,2024,"Enero","tasas_2024_66.xlsx"
"18","Bonos Ministerio de Hacienda","ROMANA",0.000707,2024,"Enero","tasas_2024_66.xlsx"
"19","Bonos Ministerio de Hacienda","SIEMBRA",0.000698,2024,"Enero","tasas_2024_66.xlsx"
"20","Bonos Ministerio de Hacienda","TOTAL_CCI",0.000738857860687772,2024,"Enero","tasas_2024_66.xlsx"
