instrumento,fund,rate,mes,year
Bonos Ministerio de Hacienda,ATLÁNTICO,9.83,12,2017
Bonos Ministerio de Hacienda,JMMB_BDI,10.05,12,2017
Bonos Ministerio de Hacienda,POPULAR,9.07,12,2017
Bonos Ministerio de Hacienda,RESERVAS,9.43,12,2017
Bonos Ministerio de Hacienda,ROMANA,10.32,12,2017
Bonos Ministerio de Hacienda,SCOTIA_CRECER,9.44,12,2017
Bonos Ministerio de Hacienda,SIEMBRA,8.62,12,2017
Bonos Ministerio de Hacienda,RESERVAS-R3,10,12,2017
Bonos Ministerio de Hacienda,BANCO_CENTRAL-R3,9.22,12,2017
Bonos Ministerio de Hacienda,FONDO_DE_SOLIDARIDAD_SOCIAL,9.34,12,2017
Bonos EIF 1,ATLÁNTICO,10.35,12,2017
Bonos EIF 1,JMMB_BDI,10.75,12,2017
Bonos EIF 1,POPULAR,9.229999999999999,12,2017
Bonos EIF 1,RESERVAS,9.51,12,2017
Bonos EIF 1,ROMANA,NA,12,2017
Bonos EIF 1,SCOTIA_CRECER,10.38,12,2017
Bonos EIF 1,SIEMBRA,9.1,12,2017
Bonos EIF 1,RESERVAS-R3,8.58,12,2017
Bonos EIF 1,BANCO_CENTRAL-R3,NA,12,2017
Bonos EIF 1,FONDO_DE_SOLIDARIDAD_SOCIAL,9.379999999999999,12,2017
Certificados de Depósito EIF1,ATLÁNTICO,7.17,12,2017
Certificados de Depósito EIF1,JMMB_BDI,7.42,12,2017
Certificados de Depósito EIF1,POPULAR,5.94,12,2017
Certificados de Depósito EIF1,RESERVAS,6.36,12,2017
Certificados de Depósito EIF1,ROMANA,8.129999999999999,12,2017
Certificados de Depósito EIF1,SCOTIA_CRECER,5.47,12,2017
Certificados de Depósito EIF1,SIEMBRA,5.63,12,2017
Certificados de Depósito EIF1,RESERVAS-R3,5.81,12,2017
Certificados de Depósito EIF1,BANCO_CENTRAL-R3,6.619999999999999,12,2017
Certificados de Depósito EIF1,FONDO_DE_SOLIDARIDAD_SOCIAL,5.8999999999999995,12,2017
Certificados Inversión Especial BCRD2,ATLÁNTICO,9.25,12,2017
Certificados Inversión Especial BCRD2,JMMB_BDI,9.049999999999999,12,2017
Certificados Inversión Especial BCRD2,POPULAR,9.29,12,2017
Certificados Inversión Especial BCRD2,RESERVAS,9.35,12,2017
Certificados Inversión Especial BCRD2,ROMANA,9.15,12,2017
Certificados Inversión Especial BCRD2,SCOTIA_CRECER,9.11,12,2017
Certificados Inversión Especial BCRD2,SIEMBRA,9.31,12,2017
Certificados Inversión Especial BCRD2,RESERVAS-R3,9.04,12,2017
Certificados Inversión Especial BCRD2,BANCO_CENTRAL-R3,9.58,12,2017
Certificados Inversión Especial BCRD2,FONDO_DE_SOLIDARIDAD_SOCIAL,9.31,12,2017
Letras BCRD2,ATLÁNTICO,NA,12,2017
Letras BCRD2,JMMB_BDI,NA,12,2017
Letras BCRD2,POPULAR,7.01,12,2017
Letras BCRD2,RESERVAS,NA,12,2017
Letras BCRD2,ROMANA,NA,12,2017
Letras BCRD2,SCOTIA_CRECER,6.78,12,2017
Letras BCRD2,SIEMBRA,NA,12,2017
Letras BCRD2,RESERVAS-R3,NA,12,2017
Letras BCRD2,BANCO_CENTRAL-R3,NA,12,2017
Letras BCRD2,FONDO_DE_SOLIDARIDAD_SOCIAL,NA,12,2017
Notas BCRD2,ATLÁNTICO,9.21,12,2017
Notas BCRD2,JMMB_BDI,9.28,12,2017
Notas BCRD2,POPULAR,9.39,12,2017
Notas BCRD2,RESERVAS,9.379999999999999,12,2017
Notas BCRD2,ROMANA,9.21,12,2017
Notas BCRD2,SCOTIA_CRECER,9.379999999999999,12,2017
Notas BCRD2,SIEMBRA,9.43,12,2017
Notas BCRD2,RESERVAS-R3,9.26,12,2017
Notas BCRD2,BANCO_CENTRAL-R3,9.139999999999999,12,2017
Notas BCRD2,FONDO_DE_SOLIDARIDAD_SOCIAL,9.36,12,2017
Bonos Ministerio de Hacienda,ATLÁNTICO,10.2,11,2017
Bonos Ministerio de Hacienda,JMMB_BDI,10.41,11,2017
Bonos Ministerio de Hacienda,POPULAR,9.24,11,2017
Bonos Ministerio de Hacienda,RESERVAS,9.62,11,2017
Bonos Ministerio de Hacienda,ROMANA,10.12,11,2017
Bonos Ministerio de Hacienda,SCOTIA_CRECER,9.520000000000001,11,2017
Bonos Ministerio de Hacienda,SIEMBRA,8.88,11,2017
Bonos Ministerio de Hacienda,RESERVAS-R3,10.13,11,2017
Bonos Ministerio de Hacienda,BANCO_CENTRAL-R3,9.520000000000001,11,2017
Bonos Ministerio de Hacienda,FONDO_DE_SOLIDARIDAD_SOCIAL,9.46,11,2017
Bonos EIF 1,ATLÁNTICO,10.52,11,2017
Bonos EIF 1,JMMB_BDI,10.75,11,2017
Bonos EIF 1,POPULAR,9.9,11,2017
Bonos EIF 1,RESERVAS,9.81,11,2017
Bonos EIF 1,ROMANA,0,11,2017
Bonos EIF 1,SCOTIA_CRECER,10.12,11,2017
Bonos EIF 1,SIEMBRA,9.83,11,2017
Bonos EIF 1,RESERVAS-R3,9.8,11,2017
Bonos EIF 1,BANCO_CENTRAL-R3,0,11,2017
Bonos EIF 1,FONDO_DE_SOLIDARIDAD_SOCIAL,10.15,11,2017
Certificados de Depósito EIF1,ATLÁNTICO,7.42,11,2017
Certificados de Depósito EIF1,JMMB_BDI,7.180000000000001,11,2017
Certificados de Depósito EIF1,POPULAR,6.34,11,2017
Certificados de Depósito EIF1,RESERVAS,5.65,11,2017
Certificados de Depósito EIF1,ROMANA,9.16,11,2017
Certificados de Depósito EIF1,SCOTIA_CRECER,4.97,11,2017
Certificados de Depósito EIF1,SIEMBRA,5.1499999999999995,11,2017
Certificados de Depósito EIF1,RESERVAS-R3,4.72,11,2017
Certificados de Depósito EIF1,BANCO_CENTRAL-R3,7.02,11,2017
Certificados de Depósito EIF1,FONDO_DE_SOLIDARIDAD_SOCIAL,5.58,11,2017
Certificados Inversión Especial BCRD2,ATLÁNTICO,9.520000000000001,11,2017
Certificados Inversión Especial BCRD2,JMMB_BDI,9.180000000000001,11,2017
Certificados Inversión Especial BCRD2,POPULAR,9.24,11,2017
Certificados Inversión Especial BCRD2,RESERVAS,9.53,11,2017
Certificados Inversión Especial BCRD2,ROMANA,9.16,11,2017
Certificados Inversión Especial BCRD2,SCOTIA_CRECER,9.24,11,2017
Certificados Inversión Especial BCRD2,SIEMBRA,9.55,11,2017
Certificados Inversión Especial BCRD2,RESERVAS-R3,9.26,11,2017
Certificados Inversión Especial BCRD2,BANCO_CENTRAL-R3,9.59,11,2017
Certificados Inversión Especial BCRD2,FONDO_DE_SOLIDARIDAD_SOCIAL,9.56,11,2017
Letras BCRD2,ATLÁNTICO,0,11,2017
Letras BCRD2,JMMB_BDI,0,11,2017
Letras BCRD2,POPULAR,6.950000000000001,11,2017
Letras BCRD2,RESERVAS,0,11,2017
Letras BCRD2,ROMANA,0,11,2017
Letras BCRD2,SCOTIA_CRECER,6.78,11,2017
Letras BCRD2,SIEMBRA,0,11,2017
Letras BCRD2,RESERVAS-R3,0,11,2017
Letras BCRD2,BANCO_CENTRAL-R3,0,11,2017
Letras BCRD2,FONDO_DE_SOLIDARIDAD_SOCIAL,0,11,2017
Notas BCRD2,ATLÁNTICO,9.98,11,2017
Notas BCRD2,JMMB_BDI,10.05,11,2017
Notas BCRD2,POPULAR,9.93,11,2017
Notas BCRD2,RESERVAS,10,11,2017
Notas BCRD2,ROMANA,9.87,11,2017
Notas BCRD2,SCOTIA_CRECER,9.9,11,2017
Notas BCRD2,SIEMBRA,10,11,2017
Notas BCRD2,RESERVAS-R3,9.93,11,2017
Notas BCRD2,BANCO_CENTRAL-R3,9.879999999999999,11,2017
Notas BCRD2,FONDO_DE_SOLIDARIDAD_SOCIAL,9.94,11,2017
Bonos Ministerio de Hacienda,ATLÁNTICO,10.549999999999999,10,2017
Bonos Ministerio de Hacienda,JMMB_BDI,10.47,10,2017
Bonos Ministerio de Hacienda,POPULAR,9.41,10,2017
Bonos Ministerio de Hacienda,RESERVAS,9.71,10,2017
Bonos Ministerio de Hacienda,ROMANA,10.66,10,2017
Bonos Ministerio de Hacienda,SCOTIA_CRECER,9.6,10,2017
Bonos Ministerio de Hacienda,SIEMBRA,8.95,10,2017
Bonos Ministerio de Hacienda,RESERVAS-R3,10.18,10,2017
Bonos Ministerio de Hacienda,BANCO_CENTRAL-R3,9.53,10,2017
Bonos Ministerio de Hacienda,FONDO_DE_SOLIDARIDAD_SOCIAL,9.56,10,2017
Bonos EIF 1,ATLÁNTICO,10.51,10,2017
Bonos EIF 1,JMMB_BDI,10.75,10,2017
Bonos EIF 1,POPULAR,9.9,10,2017
Bonos EIF 1,RESERVAS,9.81,10,2017
Bonos EIF 1,ROMANA,0,10,2017
Bonos EIF 1,SCOTIA_CRECER,10.12,10,2017
Bonos EIF 1,SIEMBRA,9.83,10,2017
Bonos EIF 1,RESERVAS-R3,9.8,10,2017
Bonos EIF 1,BANCO_CENTRAL-R3,0,10,2017
Bonos EIF 1,FONDO_DE_SOLIDARIDAD_SOCIAL,10.15,10,2017
Certificados de Depósito EIF1,ATLÁNTICO,8.03,10,2017
Certificados de Depósito EIF1,JMMB_BDI,7.82,10,2017
Certificados de Depósito EIF1,POPULAR,6.569999999999999,10,2017
Certificados de Depósito EIF1,RESERVAS,6.08,10,2017
Certificados de Depósito EIF1,ROMANA,9.520000000000001,10,2017
Certificados de Depósito EIF1,SCOTIA_CRECER,6.329999999999999,10,2017
Certificados de Depósito EIF1,SIEMBRA,5.09,10,2017
Certificados de Depósito EIF1,RESERVAS-R3,5.04,10,2017
Certificados de Depósito EIF1,BANCO_CENTRAL-R3,7.7700000000000005,10,2017
Certificados de Depósito EIF1,FONDO_DE_SOLIDARIDAD_SOCIAL,6.18,10,2017
Certificados Inversión Especial BCRD2,ATLÁNTICO,10.05,10,2017
Certificados Inversión Especial BCRD2,JMMB_BDI,10.100000000000001,10,2017
Certificados Inversión Especial BCRD2,POPULAR,9.41,10,2017
Certificados Inversión Especial BCRD2,RESERVAS,9.879999999999999,10,2017
Certificados Inversión Especial BCRD2,ROMANA,9.47,10,2017
Certificados Inversión Especial BCRD2,SCOTIA_CRECER,9.54,10,2017
Certificados Inversión Especial BCRD2,SIEMBRA,10.059999999999999,10,2017
Certificados Inversión Especial BCRD2,RESERVAS-R3,9.790000000000001,10,2017
Certificados Inversión Especial BCRD2,BANCO_CENTRAL-R3,9.94,10,2017
Certificados Inversión Especial BCRD2,FONDO_DE_SOLIDARIDAD_SOCIAL,10.02,10,2017
Letras BCRD2,ATLÁNTICO,0,10,2017
Letras BCRD2,JMMB_BDI,0,10,2017
Letras BCRD2,POPULAR,7.42,10,2017
Letras BCRD2,RESERVAS,0,10,2017
Letras BCRD2,ROMANA,0,10,2017
Letras BCRD2,SCOTIA_CRECER,7.8100000000000005,10,2017
Letras BCRD2,SIEMBRA,0,10,2017
Letras BCRD2,RESERVAS-R3,0,10,2017
Letras BCRD2,BANCO_CENTRAL-R3,0,10,2017
Letras BCRD2,FONDO_DE_SOLIDARIDAD_SOCIAL,0,10,2017
Notas BCRD2,ATLÁNTICO,10.100000000000001,10,2017
Notas BCRD2,JMMB_BDI,10.17,10,2017
Notas BCRD2,POPULAR,9.99,10,2017
Notas BCRD2,RESERVAS,10.059999999999999,10,2017
Notas BCRD2,ROMANA,9.879999999999999,10,2017
Notas BCRD2,SCOTIA_CRECER,9.94,10,2017
Notas BCRD2,SIEMBRA,10.12,10,2017
Notas BCRD2,RESERVAS-R3,9.98,10,2017
Notas BCRD2,BANCO_CENTRAL-R3,9.9,10,2017
Notas BCRD2,FONDO_DE_SOLIDARIDAD_SOCIAL,10,10,2017
Bonos Ministerio de Hacienda,ATLÁNTICO,10.639999999999999,9,2017
Bonos Ministerio de Hacienda,JMMB_BDI,10.77,9,2017
Bonos Ministerio de Hacienda,POPULAR,9.54,9,2017
Bonos Ministerio de Hacienda,RESERVAS,9.83,9,2017
Bonos Ministerio de Hacienda,ROMANA,10.7,9,2017
Bonos Ministerio de Hacienda,SCOTIA_CRECER,9.84,9,2017
Bonos Ministerio de Hacienda,SIEMBRA,9.030000000000001,9,2017
Bonos Ministerio de Hacienda,RESERVAS-R3,10.34,9,2017
Bonos Ministerio de Hacienda,BANCO_CENTRAL-R3,9.87,9,2017
Bonos Ministerio de Hacienda,FONDO_DE_SOLIDARIDAD_SOCIAL,9.65,9,2017
Bonos EIF 1,ATLÁNTICO,10.51,9,2017
Bonos EIF 1,JMMB_BDI,NA,9,2017
Bonos EIF 1,POPULAR,9.9,9,2017
Bonos EIF 1,RESERVAS,9.81,9,2017
Bonos EIF 1,ROMANA,NA,9,2017
Bonos EIF 1,SCOTIA_CRECER,10.12,9,2017
Bonos EIF 1,SIEMBRA,9.83,9,2017
Bonos EIF 1,RESERVAS-R3,9.8,9,2017
Bonos EIF 1,BANCO_CENTRAL-R3,NA,9,2017
Bonos EIF 1,FONDO_DE_SOLIDARIDAD_SOCIAL,10.15,9,2017
Certificados de Depósito EIF1,ATLÁNTICO,8.82,9,2017
Certificados de Depósito EIF1,JMMB_BDI,7.8100000000000005,9,2017
Certificados de Depósito EIF1,POPULAR,7.46,9,2017
Certificados de Depósito EIF1,RESERVAS,6.3100000000000005,9,2017
Certificados de Depósito EIF1,ROMANA,9.62,9,2017
Certificados de Depósito EIF1,SCOTIA_CRECER,6.74,9,2017
Certificados de Depósito EIF1,SIEMBRA,7.02,9,2017
Certificados de Depósito EIF1,RESERVAS-R3,6.01,9,2017
Certificados de Depósito EIF1,BANCO_CENTRAL-R3,8.89,9,2017
Certificados de Depósito EIF1,FONDO_DE_SOLIDARIDAD_SOCIAL,6.3,9,2017
Certificados Inversión Especial BCRD2,ATLÁNTICO,10.299999999999999,9,2017
Certificados Inversión Especial BCRD2,JMMB_BDI,10.32,9,2017
Certificados Inversión Especial BCRD2,POPULAR,9.55,9,2017
Certificados Inversión Especial BCRD2,RESERVAS,10.05,9,2017
Certificados Inversión Especial BCRD2,ROMANA,9.78,9,2017
Certificados Inversión Especial BCRD2,SCOTIA_CRECER,9.76,9,2017
Certificados Inversión Especial BCRD2,SIEMBRA,10.280000000000001,9,2017
Certificados Inversión Especial BCRD2,RESERVAS-R3,9.959999999999999,9,2017
Certificados Inversión Especial BCRD2,BANCO_CENTRAL-R3,10.100000000000001,9,2017
Certificados Inversión Especial BCRD2,FONDO_DE_SOLIDARIDAD_SOCIAL,10.22,9,2017
