"escenario","periodo","simulacion","retorno_simulado"
"Baseline VAR","2026-01",1,7.4704950659077
"Baseline VAR","2026-02",1,9.82855610807509
"Baseline VAR","2026-03",1,9.89837028994501
"Baseline VAR","2026-04",1,7.33958812572956
"Baseline VAR","2026-05",1,9.70509291071233
"Baseline VAR","2026-06",1,9.30221171699344
"Baseline VAR","2026-07",1,8.50870550526933
"Baseline VAR","2026-08",1,8.46941282858469
"Baseline VAR","2026-09",1,8.40382420819815
"Baseline VAR","2026-10",1,8.17833946028126
"Baseline VAR","2026-11",1,8.2999082224627
"Baseline VAR","2026-12",1,8.03214551583902
"Baseline VAR","2026-01",2,8.16730289277201
"Baseline VAR","2026-02",2,9.40901474035387
"Baseline VAR","2026-03",2,9.65093391375538
"Baseline VAR","2026-04",2,9.04050118268417
"Baseline VAR","2026-05",2,8.7744238668096
"Baseline VAR","2026-06",2,8.46623966809219
"Baseline VAR","2026-07",2,8.33183907672963
"Baseline VAR","2026-08",2,10.2852807984557
"Baseline VAR","2026-09",2,8.88672990539131
"Baseline VAR","2026-10",2,8.40358803737163
"Baseline VAR","2026-11",2,8.3716264493408
"Baseline VAR","2026-12",2,8.77099101806771
"Baseline VAR","2026-01",3,8.3007952539121
"Baseline VAR","2026-02",3,7.74904947661253
"Baseline VAR","2026-03",3,10.0648416337487
"Baseline VAR","2026-04",3,8.2086106836748
"Baseline VAR","2026-05",3,8.99103710187163
"Baseline VAR","2026-06",3,8.49569429367638
"Baseline VAR","2026-07",3,9.47448518101758
"Baseline VAR","2026-08",3,8.41577451756822
"Baseline VAR","2026-09",3,8.31089593260983
"Baseline VAR","2026-10",3,8.35625415716457
"Baseline VAR","2026-11",3,7.75380384971174
"Baseline VAR","2026-12",3,7.5353474977408
"Baseline VAR","2026-01",4,5.89677832371678
"Baseline VAR","2026-02",4,5.08743942093367
"Baseline VAR","2026-03",4,8.09915098475836
"Baseline VAR","2026-04",4,8.59821810816923
"Baseline VAR","2026-05",4,9.92540386540388
"Baseline VAR","2026-06",4,7.91821595636079
"Baseline VAR","2026-07",4,7.9848545006248
"Baseline VAR","2026-08",4,8.51432378004376
"Baseline VAR","2026-09",4,8.20042601494112
"Baseline VAR","2026-10",4,8.03085353149548
"Baseline VAR","2026-11",4,7.8127919752992
"Baseline VAR","2026-12",4,7.5178921924279
"Baseline VAR","2026-01",5,8.57558380295906
"Baseline VAR","2026-02",5,8.89646462038467
"Baseline VAR","2026-03",5,8.14909468536948
"Baseline VAR","2026-04",5,8.49514581875039
"Baseline VAR","2026-05",5,8.22525989177972
"Baseline VAR","2026-06",5,8.07754305629202
"Baseline VAR","2026-07",5,8.69234009776365
"Baseline VAR","2026-08",5,9.02178120687161
"Baseline VAR","2026-09",5,9.52588401834996
"Baseline VAR","2026-10",5,7.97104133117373
"Baseline VAR","2026-11",5,9.78176706804351
"Baseline VAR","2026-12",5,7.21523832959259
"Baseline VAR","2026-01",6,10.4848244729962
"Baseline VAR","2026-02",6,11.9933560723106
"Baseline VAR","2026-03",6,9.13308509214201
"Baseline VAR","2026-04",6,8.80204458743804
"Baseline VAR","2026-05",6,9.00090110949411
"Baseline VAR","2026-06",6,9.70925046714633
"Baseline VAR","2026-07",6,7.88138204878673
"Baseline VAR","2026-08",6,10.0689053680029
"Baseline VAR","2026-09",6,10.3518122806016
"Baseline VAR","2026-10",6,9.15595524180181
"Baseline VAR","2026-11",6,8.59345856050427
"Baseline VAR","2026-12",6,8.34337818024053
"Baseline VAR","2026-01",7,8.83001224283245
"Baseline VAR","2026-02",7,9.779516266901
"Baseline VAR","2026-03",7,10.4562795073217
"Baseline VAR","2026-04",7,8.9232902122217
"Baseline VAR","2026-05",7,8.34333751451351
"Baseline VAR","2026-06",7,8.37999674777211
"Baseline VAR","2026-07",7,9.0016613878866
"Baseline VAR","2026-08",7,8.61075330502651
"Baseline VAR","2026-09",7,8.61244268637404
"Baseline VAR","2026-10",7,8.56131015531951
"Baseline VAR","2026-11",7,7.96813998009574
"Baseline VAR","2026-12",7,8.4236632993845
"Baseline VAR","2026-01",8,10.7980296667535
"Baseline VAR","2026-02",8,10.2392824125813
"Baseline VAR","2026-03",8,9.72401077806457
"Baseline VAR","2026-04",8,8.84992070147882
"Baseline VAR","2026-05",8,8.90875998370178
"Baseline VAR","2026-06",8,8.37055272123659
"Baseline VAR","2026-07",8,8.79818387798267
"Baseline VAR","2026-08",8,8.87469629870788
"Baseline VAR","2026-09",8,9.47782761903173
"Baseline VAR","2026-10",8,9.46628720177579
"Baseline VAR","2026-11",8,8.16236735172193
"Baseline VAR","2026-12",8,8.75555123152944
"Baseline VAR","2026-01",9,7.58769030089864
"Baseline VAR","2026-02",9,10.816466692125
"Baseline VAR","2026-03",9,10.5722161582287
"Baseline VAR","2026-04",9,11.8307880331702
"Baseline VAR","2026-05",9,10.0256065247451
"Baseline VAR","2026-06",9,8.43438038548875
"Baseline VAR","2026-07",9,8.87397460004543
"Baseline VAR","2026-08",9,8.53482296473462
"Baseline VAR","2026-09",9,8.29060364307516
"Baseline VAR","2026-10",9,8.73420335020592
"Baseline VAR","2026-11",9,8.18099050291012
"Baseline VAR","2026-12",9,8.64392133683594
"Baseline VAR","2026-01",10,9.99697504151854
"Baseline VAR","2026-02",10,9.29618931328936
"Baseline VAR","2026-03",10,9.128911769507
"Baseline VAR","2026-04",10,8.81096346828975
"Baseline VAR","2026-05",10,8.42973681804199
"Baseline VAR","2026-06",10,9.49119538294853
"Baseline VAR","2026-07",10,8.84839823618949
"Baseline VAR","2026-08",10,9.13217504051278
"Baseline VAR","2026-09",10,8.00347705782672
"Baseline VAR","2026-10",10,8.7668698907001
"Baseline VAR","2026-11",10,8.89976030768185
"Baseline VAR","2026-12",10,8.53327848131793
"Baseline VAR","2026-01",11,9.1132755346024
"Baseline VAR","2026-02",11,8.92099439915049
"Baseline VAR","2026-03",11,10.4046190433317
"Baseline VAR","2026-04",11,9.96596751747695
"Baseline VAR","2026-05",11,10.6205242928413
"Baseline VAR","2026-06",11,9.03482751768369
"Baseline VAR","2026-07",11,8.54283216879589
"Baseline VAR","2026-08",11,7.97894641823949
"Baseline VAR","2026-09",11,8.17006612758799
"Baseline VAR","2026-10",11,8.78465873152323
"Baseline VAR","2026-11",11,9.06116022063976
"Baseline VAR","2026-12",11,8.70207541853939
"Baseline VAR","2026-01",12,7.52729504569894
"Baseline VAR","2026-02",12,10.4968949566326
"Baseline VAR","2026-03",12,7.355526715934
"Baseline VAR","2026-04",12,8.4788516060796
"Baseline VAR","2026-05",12,8.77907348085948
"Baseline VAR","2026-06",12,7.95945072640838
"Baseline VAR","2026-07",12,9.71572391488096
"Baseline VAR","2026-08",12,8.19798279861432
"Baseline VAR","2026-09",12,8.47139660395906
"Baseline VAR","2026-10",12,9.3213268974739
"Baseline VAR","2026-11",12,9.06899718560474
"Baseline VAR","2026-12",12,8.48008021982285
"Baseline VAR","2026-01",13,10.2538139872463
"Baseline VAR","2026-02",13,9.67621558690884
"Baseline VAR","2026-03",13,10.1181141799588
